Features,Average Feature Importance,Standard Deviation Importance,Decision
worst concave points,4.662133433913253,0.27238345157708105,Accepted
worst perimeter,4.294236989903607,0.491592811232982,Accepted
worst area,2.5434555341164162,0.49445872218540293,Accepted
mean concave points,1.8657682546817866,0.4841961884439992,Accepted
worst radius,1.725714123696299,0.43509723372926035,Accepted
worst concavity,0.510341769479649,0.12704785855421782,Accepted
area error,0.378801722423045,0.141419417120656,Accepted
worst texture,0.2704349106574663,0.07254869874811852,Accepted
mean texture,0.12949292476566004,0.04529160094372551,Accepted
mean concavity,-0.03037146980985943,0.1067297520272406,Accepted
mean area,-0.17428897009295435,0.09068994734652785,Accepted
worst smoothness,-0.1893512342582384,0.044962217516258514,Accepted
radius error,-0.21071951574752004,0.042476896698153646,Accepted
Max_Shadow,-0.22805959300942474,0.025720451132568187,Shadow
perimeter error,-0.2702226657088014,0.04199071129792064,Tentative
mean smoothness,-0.3066064325850706,0.02358116858085306,Rejected
worst symmetry,-0.30994731972272566,0.031298776385756434,Rejected
mean radius,-0.311779078073044,0.02752757944889491,Rejected
mean perimeter,-0.31182624770395495,0.03141297302321256,Rejected
fractal dimension error,-0.31823187517153506,0.007064770423736986,Rejected
concavity error,-0.3227649083442808,0.01587219373391133,Rejected
concave points error,-0.32437979008310486,0.01889577824318211,Rejected
texture error,-0.3266332588734958,0.01944702537747621,Rejected
worst compactness,-0.3290184609689141,0.028309945914587915,Rejected
smoothness error,-0.33633034028902864,0.034629181134567796,Rejected
compactness error,-0.33858558595613714,0.02201068964039685,Rejected
Mean_Shadow,-0.34050201628319343,0.009815805263221495,Shadow
worst fractal dimension,-0.34548242190633477,0.01067183468193796,Rejected
mean fractal dimension,-0.34740475103297347,0.013583694787908664,Rejected
Median_Shadow,-0.3483992635199912,0.011565014956245965,Shadow
mean symmetry,-0.35134519216945065,0.02170962063529021,Rejected
symmetry error,-0.3532430396303078,0.010420764114514256,Rejected
mean compactness,-0.3567866170136444,0.013348046519627427,Rejected
Min_Shadow,-0.37048594477342467,0.010501304193192975,Shadow
